45N6678_ASO;Lenovo ThinkPad Mini Dock Series 3 - Mini-dock - EU - for Lenovo ThinkPad T420si, L412, L420, L512, L520, T410i, T420, T420i, T420s, T510i, T520;194.81;235.72;;1.21
7360WTS_ASO;Kompiuteris TC M58;240.96;291.56;;
N007L728012EMEA_272922872;"Dell Latitude 7280 - Ultrabook - Core i5 7300U / 2.6 GHz - Win 10 Pro 64-bit - 8 GB RAM - 256 GB SSD - 12.5"" 1920 x 1080 (Full HD) - HD Graphics 620 - Wi-Fi, Bluetooth - black";1091.29;1320.46;;
40A70045EU;"Lenovo ThinkPad USB 3.0 Pro Dock - Docking station - USB - GigE - 45 Watt - for Miix 520-12; ThinkPad A275; A475; E480; E580; L480; P52; T25; T480; T580; X280; X380 Yoga";198.18;239.80;;
N072VN3578EMEA01_1901_WIN_RU;"Dell Vostro 15 3578 Black, 15.6 "", Full HD, 1920 x 1080 pixels, Matt, Intel Core i5, i5-8250U, 8 GB, DDR4, SSD 256 GB, AMD Radeon 520, GDDR5, 2 GB, Tray load DVD Drive (Reads and Writes to DVD/CD), Windows 10 Pro, 802.11ac, Bluetooth version 4.1, Keyboard language English, Russian, Warranty Basic Next Business Day 36 month(s), Battery warranty 12 month(s)";702.58;850.12;;
P20 BLUE;"Huawei P20 (Blue) Dual SIM 5.8"" LTPS IPS LCD 1080x2240/2.4GHz&1.8GHz/128GB/4GB RAM/Android 8.0/microSD/WiFi,4G,BT";611.95;740.46;;
LG-H870 BLACK-;"LG G6 H870 (Platinum ) Single SIM 5.7"" IPS LCD 1440 x 2880/2.35GHz&1.6GHz/32GB/4GB RAM/Android 7.0/microSD/WiFi,4G,BT";359.78;435.33;;
M700A BLACK SLIM JELLY CASE;"LG Q6 M700A (Black) slim Jelly case Dual SIM 5.5"" IPS LCD 1080 x 2160/1.4 GHz/32GB/3GB RAM/Android 7.1.1/ microSD/microUSB,WiFi,4G,NFC,BT";183.46;221.99;;
N068VN3578EMEA01_1901_UB;"Dell Vostro 15 3578 Black, 15.6 "", Full HD, 1920 x 1080 pixels, Matt, Intel Core i7, i7-8550U, 8 GB, DDR4, SSD 256 GB, AMD Radeon 520, GDDR5, 2 GB, Tray load DVD Drive (Reads and Writes to DVD/CD), Linux, 802.11ac, Bluetooth version 4.1, Keyboard language English, Warranty Basic Next Business Day 36 month(s), Battery warranty 12 month(s)";652.57;789.61;;
A530 BLACK-;"Samsung Galaxy A8 (2018) A530 (Grey) Dual SIM 5.6"" Super AMOLED 1080x2220/2.2GHz&1.6GHz/32GB/4GB RAM/Android 7.1.1/microSD/WiFi,4G,BT";348.54;421.73;;
N030VN3568EMEA01_1901_UBU;"Dell Vostro 15 3568 Black, 15.6 "", HD, 1366 x 768 pixels, Matt, Intel Core i3, i3-7130U, 4 GB, DDR4, SSD 128 GB, Intel HD, Tray load DVD Drive (Reads and Writes to DVD/CD), Linux, 802.11ac, Bluetooth version 4.1, Keyboard language English, Warranty 36 month(s), Battery warranty 12 month(s)";443.43;536.55;;
71360;Krusell Malmö Universal Small - Flip cover for tablet - man-made leather - blue;34.42;41.65;;
